Number of Clients,Time Taken to Reach Eventual Consistency (ms)
1,0.006982564926147461
2,0.038904428482055664
3,0.04985666275024414
4,0.1296548843383789
5,0.052858591079711914
6,0.06682658195495605
7,0.09574198722839355
8,0.1044611930847168
9,0.10118341445922852
10,0.1309664249420166
11,0.15159392356872559
12,0.1515941619873047
13,0.1655569076538086
14,0.168548583984375
15,0.1984713077545166
16,0.21349525451660156
17,0.20344853401184082
18,0.22788453102111816
19,0.22240400314331055
20,0.2503316402435303
21,0.2652909755706787
22,0.27930378913879395
23,0.25331592559814453
24,0.2176518440246582
25,0.2483351230621338
26,0.19547820091247559
27,0.21643686294555664
28,0.23908734321594238
29,0.16751384735107422
30,0.19148898124694824
31,0.19042611122131348
32,0.2822451591491699
33,0.18350863456726074
34,0.2293860912322998
35,0.26879143714904785
36,0.2050325870513916
37,0.26051831245422363
38,0.23131990432739258
39,0.23935794830322266
40,0.23536992073059082
41,0.24634099006652832
42,0.25296854972839355
43,0.259965181350708
44,0.2543976306915283
45,0.3011949062347412
46,0.27426624298095703
47,0.28523826599121094
48,0.4069089889526367
49,0.29441285133361816
50,0.3011949062347412
